symbol,date,open,high,low,close,volume,Moving_Average,condition
GOOGL,2023-04-01,102.39,109.17,101.93,107.34,604106300,102.80583333333334,1
GOOGL,2023-05-01,106.84,126.43,103.71,122.87,820611200,102.25916666666667,0
GOOGL,2023-06-01,122.82,129.04,116.1,119.7,656851900,102.9225,0
GOOGL,2023-07-01,119.24,133.74,115.35,132.72,708341900,103.86500000000001,0
GOOGL,2023-08-01,130.78,138.0,126.38,136.17,593329000,105.15499999999999,0
GOOGL,2023-09-01,137.46,139.16,127.22,130.86,477599300,107.58666666666666,0
GOOGL,2023-10-01,131.21,141.22,120.21,124.08,680747700,110.4575,0
GOOGL,2023-11-01,124.07,139.42,123.72,132.53,535233300,112.84249999999999,0
GOOGL,2023-12-01,131.86,142.68,127.9,139.69,619995600,115.41249999999998,0
GOOGL,2024-01-01,138.55,153.78,135.15,140.1,581871000,119.4925,0
GOOGL,2024-02-01,142.12,149.44,135.41,138.46,647623800,123.11,0
GOOGL,2024-03-01,138.43,152.26,130.67,150.93,672715700,127.1475,0
GOOGL,2024-04-01,150.69,174.71,149.6,162.78,659848400,131.1725,0
GOOGL,2024-05-01,164.3,178.77,163.05,172.5,542386500,135.96083333333334,0
GOOGL,2024-06-01,172.54,186.05,171.16,182.15,460108700,140.10416666666666,0
GOOGL,2024-07-01,183.03,191.75,164.06,171.54,526128300,145.42,0
GOOGL,2024-08-01,170.25,174.05,154.93,163.38,550739500,148.70916666666668,0
GOOGL,2024-09-01,161.72,166.15,147.22,165.85,532543100,150.73083333333332,0
GOOGL,2024-10-01,167.69,182.02,159.74,171.11,569309100,153.77083333333334,0
GOOGL,2024-11-01,170.07,182.49,163.7,168.95,529919300,157.60416666666666,0
GOOGL,2024-12-01,168.77,201.42,168.57,189.3,645610200,160.67999999999998,0
GOOGL,2025-01-01,190.65,205.48,187.36,204.02,500334600,165.02166666666668,0
GOOGL,2025-02-01,200.69,207.05,166.77,170.28,629376900,169.9025,0
GOOGL,2025-03-01,171.93,174.97,150.66,154.64,732152300,172.69416666666666,1
GOOGL,2025-04-01,153.62,166.1,140.53,158.8,842648300,172.9383333333333,1
